Ano,cod_ibge,Municipio,Furto de veículo 2014,Furto outros 2014,Homicídio culposo outros 2014,Homicídio culposo por acidente de trânsito 2014,Latrocínio 2014,Lesão corporal culposa outras 2014,Lesão corporal culposa por acidente de trânsito 2014,Lesão corporal dolosa 2014,Vítimas de homicídio 2014,Tentativa de homicídio 2014,Total de estupro 2014,Total de Roubo 2014,Indice Criminalidade 2014,Classificação 2014
2014,3542909,Ribeirao Bonito,2,106,0,1,0,0,19,79,2,1,3,3,0.29042351194523963,Baixo
2014,3543006,Ribeirao Branco,5,42,0,3,0,1,33,64,1,4,2,4,0.11821613473065684,Muito Baixo
2014,3543105,Ribeirao Corrente,1,40,0,0,0,0,7,18,0,0,3,2,0.19873854680172753,Muito Baixo
2014,3543204,Ribeirao do Sul,3,16,0,0,0,0,9,17,1,1,2,1,0.1354535004067328,Muito Baixo
2014,3543238,Ribeirao dos Indios,0,8,0,0,0,0,2,10,0,0,0,1,0.1623045711541842,Muito Baixo
2014,3543253,Ribeirao Grande,17,64,0,0,0,0,3,15,0,1,2,4,0.13969004598101267,Muito Baixo
2014,3543303,Ribeirao Pires,379,993,0,17,2,16,195,343,21,10,36,632,0.1977144220685478,Muito Baixo
2014,3543402,Ribeirao Preto,2794,13033,3,57,4,17,2484,1816,48,63,66,4288,0.3154974844443436,Baixo
2014,3543501,Riversul,1,36,0,1,0,0,8,56,1,0,1,6,0.3583729640532073,Baixo
2014,3543600,Rifaina,1,25,0,0,0,1,2,9,0,0,1,3,0.12700393788196532,Muito Baixo
2014,3543709,Rincao,4,83,0,1,0,0,13,74,1,6,9,6,0.31132209504925945,Baixo
2014,3543808,Rinopolis,2,36,0,3,0,1,38,54,1,0,0,2,0.21079234911442404,Baixo
2014,3543907,Rio Claro,956,2404,1,25,2,17,1407,1027,40,24,29,1128,0.333981454608871,Baixo
2014,3544004,Rio das Pedras,68,211,0,7,0,2,114,113,5,3,7,120,0.19751877300811538,Muito Baixo
2014,3544103,Rio Grande da Serra,27,297,0,2,0,0,43,189,3,7,15,114,0.18648606290063832,Muito Baixo
2014,3544202,Riolandia,4,93,0,0,0,0,13,67,2,3,4,3,0.27781389934649675,Baixo
2014,3544251,Rosana,2,186,1,4,0,4,45,144,6,5,11,15,0.34130039892304753,Baixo
2014,3544301,Roseira,3,71,0,4,0,33,21,16,1,2,3,18,0.19125379087590594,Muito Baixo
2014,3544400,Rubiacea,0,9,0,1,0,0,2,3,0,1,1,0,0.05035611840128152,Muito Baixo
2014,3544509,Rubineia,1,23,0,1,0,0,4,15,0,1,0,1,0.21649717214203348,Baixo
