Territorialidades,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010
Narandiba (SP),"0,718","0,659","0,839","0,67"
Natividade da Serra (SP),"0,655","0,664","0,814","0,52"
Nazaré Paulista (SP),"0,678","0,681","0,818","0,559"
Neves Paulista (SP),"0,754","0,737","0,823","0,707"
Nhandeara (SP),"0,751","0,755","0,835","0,672"
Nipoã (SP),"0,713","0,701","0,814","0,636"
Nova Aliança (SP),"0,738","0,71","0,826","0,684"
Nova Campina (SP),"0,651","0,598","0,799","0,577"
Nova Canaã Paulista (SP),"0,715","0,673","0,806","0,675"
Nova Castilho (SP),"0,756","0,694","0,823","0,755"
Nova Europa (SP),"0,765","0,718","0,869","0,718"
Nova Granada (SP),"0,739","0,727","0,818","0,68"
Nova Guataporanga (SP),"0,726","0,707","0,842","0,644"
Nova Independência (SP),"0,735","0,675","0,827","0,711"
Novais (SP),"0,719","0,712","0,822","0,634"
Nova Luzitânia (SP),"0,743","0,705","0,808","0,719"
Nova Odessa (SP),"0,791","0,755","0,861","0,762"
Novo Horizonte (SP),"0,753","0,741","0,865","0,665"
Nuporanga (SP),"0,746","0,73","0,866","0,656"
Ocauçu (SP),"0,717","0,679","0,83","0,653"
Óleo (SP),"0,73","0,713","0,858","0,637"
Olímpia (SP),"0,773","0,737","0,867","0,724"
Onda Verde (SP),"0,738","0,693","0,863","0,671"
Oriente (SP),"0,77","0,717","0,837","0,761"
Orindiúva (SP),"0,767","0,719","0,824","0,762"
Orlândia (SP),"0,78","0,765","0,882","0,703"
Osasco (SP),"0,776","0,776","0,84","0,718"
Oscar Bressane (SP),"0,749","0,713","0,823","0,715"
Osvaldo Cruz (SP),"0,762","0,74","0,837","0,713"
Ourinhos (SP),"0,778","0,753","0,859","0,727"
Ouroeste (SP),"0,77","0,717","0,866","0,736"
Ouro Verde (SP),"0,692","0,666","0,814","0,612"
Pacaembu (SP),"0,725","0,717","0,843","0,631"
Palestina (SP),"0,732","0,717","0,848","0,645"
Palmares Paulista (SP),"0,722","0,698","0,837","0,645"
Palmeira D'Oeste (SP),"0,753","0,72","0,829","0,714"
Palmital (SP),"0,746","0,727","0,814","0,702"
Panorama (SP),"0,722","0,724","0,814","0,639"
Paraguaçu Paulista (SP),"0,762","0,717","0,836","0,739"
Paraibuna (SP),"0,719","0,709","0,815","0,642"
Paraíso (SP),"0,749","0,751","0,837","0,668"
Paranapanema (SP),"0,717","0,697","0,839","0,631"
Paranapuã (SP),"0,732","0,712","0,842","0,655"
Parapuã (SP),"0,737","0,693","0,83","0,696"
Pardinho (SP),"0,727","0,718","0,821","0,652"
Pariquera-Açu (SP),"0,736","0,682","0,862","0,678"
Parisi (SP),"0,721","0,72","0,842","0,619"
Patrocínio Paulista (SP),"0,73","0,696","0,826","0,678"
Paulicéia (SP),"0,711","0,692","0,811","0,64"
Paulínia (SP),"0,795","0,8","0,864","0,727"
Paulistânia (SP),"0,718","0,683","0,817","0,663"
Paulo de Faria (SP),"0,725","0,721","0,8","0,662"
Pederneiras (SP),"0,739","0,738","0,812","0,673"
Pedra Bela (SP),"0,677","0,671","0,796","0,581"
Pedranópolis (SP),"0,742","0,698","0,854","0,684"
Pedregulho (SP),"0,715","0,716","0,82","0,623"
Pedreira (SP),"0,769","0,75","0,864","0,701"
Pedrinhas Paulista (SP),"0,774","0,749","0,837","0,739"
Pedro de Toledo (SP),"0,696","0,654","0,812","0,634"
Penápolis (SP),"0,759","0,748","0,859","0,68"
Pereira Barreto (SP),"0,766","0,728","0,845","0,732"
Pereiras (SP),"0,736","0,717","0,873","0,637"
Peruíbe (SP),"0,749","0,73","0,854","0,675"
Piacatu (SP),"0,732","0,681","0,843","0,684"
Piedade (SP),"0,716","0,694","0,848","0,624"
Pilar do Sul (SP),"0,69","0,674","0,82","0,594"
Pindamonhangaba (SP),"0,773","0,745","0,843","0,736"
Pindorama (SP),"0,737","0,726","0,842","0,654"
Pinhalzinho (SP),"0,725","0,707","0,808","0,666"
Piquerobi (SP),"0,711","0,669","0,836","0,644"
Piquete (SP),"0,757","0,711","0,823","0,74"
Piracaia (SP),"0,739","0,758","0,851","0,625"
Piracicaba (SP),"0,785","0,797","0,848","0,717"
Pirajuí (SP),"0,749","0,734","0,853","0,672"
Piraju (SP),"0,758","0,74","0,843","0,699"
Pirangi (SP),"0,756","0,735","0,837","0,701"
Pirapora do Bom Jesus (SP),"0,727","0,679","0,81","0,698"
Pirapozinho (SP),"0,776","0,74","0,863","0,733"
Pirassununga (SP),"0,801","0,789","0,884","0,736"
Piratininga (SP),"0,779","0,762","0,859","0,723"
Pitangueiras (SP),"0,723","0,699","0,83","0,651"
Planalto (SP),"0,719","0,683","0,853","0,639"
Platina (SP),"0,719","0,691","0,824","0,652"
Poá (SP),"0,771","0,71","0,856","0,754"
Poloni (SP),"0,766","0,736","0,853","0,717"
Pompéia (SP),"0,786","0,75","0,864","0,748"
Pongaí (SP),"0,755","0,727","0,844","0,701"
Pontalinda (SP),"0,702","0,677","0,847","0,604"
Pontal (SP),"0,725","0,718","0,838","0,633"
Pontes Gestal (SP),"0,732","0,705","0,805","0,69"
Populina (SP),"0,714","0,699","0,804","0,647"
Porangaba (SP),"0,703","0,696","0,864","0,578"
Porto Feliz (SP),"0,758","0,737","0,836","0,706"
Porto Ferreira (SP),"0,751","0,736","0,827","0,696"
Potim (SP),"0,697","0,651","0,806","0,646"
Potirendaba (SP),"0,747","0,737","0,857","0,661"
Pracinha (SP),"0,696","0,658","0,814","0,629"
Pradópolis (SP),"0,733","0,738","0,822","0,65"
Praia Grande (SP),"0,754","0,744","0,834","0,692"
Pratânia (SP),"0,701","0,681","0,798","0,633"
Presidente Alves (SP),"0,735","0,711","0,811","0,689"
Presidente Bernardes (SP),"0,757","0,718","0,839","0,719"
Presidente Epitácio (SP),"0,75","0,714","0,845","0,7"
Presidente Prudente (SP),"0,806","0,788","0,858","0,774"
Presidente Venceslau (SP),"0,763","0,749","0,837","0,708"
Promissão (SP),"0,743","0,724","0,85","0,666"
Quadra (SP),"0,678","0,7","0,822","0,541"
Quatá (SP),"0,738","0,706","0,814","0,7"
Queiroz (SP),"0,715","0,662","0,811","0,681"
Queluz (SP),"0,722","0,665","0,823","0,687"
Quintana (SP),"0,732","0,689","0,811","0,703"
Rafard (SP),"0,745","0,722","0,823","0,696"
Rancharia (SP),"0,751","0,72","0,861","0,683"
Redenção da Serra (SP),"0,657","0,633","0,799","0,56"
Regente Feijó (SP),"0,768","0,735","0,818","0,752"
Reginópolis (SP),"0,728","0,715","0,817","0,66"
Registro (SP),"0,754","0,718","0,851","0,702"
Restinga (SP),"0,705","0,664","0,826","0,639"
Ribeirão Bonito (SP),"0,712","0,712","0,811","0,625"
Ribeirão Branco (SP),"0,639","0,592","0,797","0,553"
Ribeirão Corrente (SP),"0,711","0,688","0,814","0,642"
Ribeirão dos Índios (SP),"0,721","0,661","0,809","0,701"
Ribeirão do Sul (SP),"0,747","0,753","0,818","0,676"
Ribeirão Grande (SP),"0,705","0,643","0,807","0,676"
Ribeirão Pires (SP),"0,784","0,749","0,847","0,76"
