Cod_ibge,Municipio,coord_centroide_x,coord_centroide_y
3538105,Pindorama,-48.912,-21.209
3509403,Cajuru,-47.310,-21.276
3514924,Elisiário,-49.092,-21.160
3553104,Taiaçu,-48.530,-21.132
3553203,Taiúva,-48.428,-21.132
3506508,Birigui,-50.351,-21.261
3543402,Ribeirão Preto,-47.821,-21.211
3524303,Jaboticabal,-48.288,-21.218
3536406,Paulicéia,-51.791,-21.199
3533205,Nova Independência,-51.505,-21.135
3535101,Palmares Paulista,-48.827,-21.104
3553658,Taquaral,-48.399,-21.069
3511102,Catanduva,-48.964,-21.133
3539004,Pirangi,-48.669,-21.094
3511201,Catiguá,-49.053,-21.062
3557154,Zacarias,-50.050,-21.125
3551702,Sertãozinho,-48.009,-21.123
3518206,Guararapes,-50.695,-21.285
3508108,Buritama,-50.200,-21.049
3540804,Potirendaba,-49.392,-21.075
3519402,Ibirá,-49.220,-21.074
3547908,Santo Antônio da Alegria,-47.196,-21.092
3532801,Nova Aliança,-49.516,-21.062
3507803,Brodowski,-47.628,-21.049
3556305,Valparaíso,-50.924,-21.203
3535705,Paraíso,-48.765,-21.019
3525706,José Bonifácio,-49.779,-21.089
3533254,Novais,-48.918,-20.988
3526506,Lavínia,-51.033,-21.151
3539608,Planalto,-49.936,-21.001
3514957,Embaúba,-48.848,-20.952
3527256,Lourdes,-50.234,-20.949
3525102,Jardinópolis,-47.826,-20.992
3504602,Bady Bassitt,-49.438,-20.931
3540200,Pontal,-48.064,-20.984
3539509,Pitangueiras,-48.249,-21.006
3555208,Turiúba,-50.111,-20.940
3524501,Jaci,-49.581,-20.945
3532108,Murutinga do Sul,-51.302,-20.996
3517802,Guaraçaí,-51.280,-21.086
3555703,União Paulista,-49.887,-20.890
3533304,Nova Luzitânia,-50.249,-20.868
3532702,Nipoã,-49.778,-20.891
3530102,Mirandópolis,-51.131,-21.081
3502804,Araçatuba,-50.575,-21.114
3511300,Cedral,-49.264,-20.913
3509304,Cajobi,-48.839,-20.873
3531506,Monte Azul Paulista,-48.681,-20.909
3552601,Tabapuã,-49.029,-20.932
3531001,Monções,-50.079,-20.863
3501004,Altinópolis,-47.386,-21.018
3556800,Viradouro,-48.310,-20.884
3506102,Bebedouro,-48.511,-20.940
3555604,Uchoa,-49.158,-20.937
3532504,Neves Paulista,-49.647,-20.870
3544905,Sales Oliveira,-47.854,-20.831
3516804,Gastão Vidigal,-50.203,-20.804
3551900,Severínia,-48.794,-20.793
3528106,Macaubal,-49.975,-20.837
3532868,Nova Castilho,-50.346,-20.778
3554409,Terra Roxa,-48.346,-20.778
3505906,Batatais,-47.575,-20.867
3530300,Mirassol,-49.504,-20.828
3548054,Santo Antônio do Aracanguá,-50.554,-20.873
3539905,Poloni,-49.820,-20.752
3502101,Andradina,-51.330,-20.835
3549805,São José do Rio Preto,-49.357,-20.798
3512001,Colina,-48.589,-20.746
